ts,symbol,type,total,direction,factors,tech,whale,oi,stable_d,cluster,cvd,vol,fg,liq,ls,stw,fr,mtf,contra,rsi,rsivol,oi_pct,stable_pct,price,cvd_veto,cooldown_loss,hl_oi,hl_fr,hl_whale,vp,vp_pos,ff,ff_detail,ob,ob_pct
2026-04-22 03:36:46,ETHUSDT,T,14,LONG,8,8,0,1,0,1,2,0,-1,1,1,0,0,1,2,63.9,9.4,3.15,9.93,2359.01,,,0,-1,0,0,inside_va,1,line=78.6%@2348.97 support,0,-14.2
2026-04-22 03:39:38,ETHUSDT,T,11,LONG,7,8,0,1,0,-1,2,0,-1,1,1,0,0,1,2,63.9,9.5,3.15,9.93,2359.4,,,0,-1,0,0,inside_va,1,line=78.6%@2348.97 support,-1,-36.5
2026-04-22 03:42:35,ETHUSDT,T,15,LONG,8,9,0,1,0,1,2,0,-1,1,1,0,0,1,2,63.6,9.2,3.12,9.93,2357.55,,,0,-1,0,0,inside_va,1,line=78.6%@2348.97 support,0,8.9
2026-04-22 03:42:58,TONUSDT,T,7,LONG,4,4,0,-1,0,0,0,0,-1,1,1,0,0,4,0,75.5,28.4,-0.5,9.93,1.3735,,,0,-1,0,0,inside_va,0,fan_down pivot=2.0 dist=7.3%,0,3.7
2026-04-22 03:43:16,TRBUSDT,W,3,LONG,5,3,0,0,0,-1,-2,0,-1,1,1,0,0,2,2,46.5,7.7,-0.15,9.93,18.545,,,0,-1,0,1,poc_support,0,fan_up pivot=12.0 dist=2.7%,0,-13.1
2026-04-22 03:43:54,SOLUSDT,W,12,LONG,6,8,0,1,0,1,2,0,-1,1,1,0,0,0,2,59.6,11.3,1.08,9.93,87.18,,,0,-1,0,0,error,0,fan_down pivot=130.0 dist=193.5%,0,-16.4
2026-04-22 03:44:10,XRPUSDT,W,9,LONG,5,7,0,1,0,0,0,0,-1,1,1,0,0,2,1,59.3,13.2,0.88,9.93,1.4445,,,0,-1,0,-1,poc_resist,0,fan_down pivot=2.0 dist=5.5%,0,-2.2
2026-04-22 03:44:23,LUNCUSDT,W,1,LONG,2,2,0,0,0,1,0,-1,-1,0,0,0,0,0,-1,81.3,31.6,0.0,9.93,0.0,,,0,0,0,0,error,0,fan_up pivot=0.0 dist=2.4%,0,7.3
2026-04-22 03:44:41,LINKUSDT,W,12,LONG,6,6,0,0,0,1,2,0,-1,1,1,0,0,3,1,65.7,20.2,0.05,9.93,9.488,,,0,-1,0,0,inside_va,0,fan_down pivot=14.0 dist=34.0%,0,5.1
2026-04-22 03:44:59,LTCUSDT,W,10,LONG,5,7,0,0,0,0,1,0,-1,1,1,0,0,3,1,61.4,14.0,0.23,9.93,55.73,,,0,-1,0,-1,poc_resist,0,fan_down pivot=85.0 dist=5.7%,0,3.7
